Indicator,Group,State,Subgroup,Time Period Label,Time Period End Date,Value
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,July 2 - July 7,07/07/2020,41.8
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,July 2 - July 7,07/07/2020,40.5
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,July 2 - July 7,07/07/2020,43.4
"Delayed Medical Care, Last 4 Weeks",By State,California,California,July 2 - July 7,07/07/2020,39.2
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,July 2 - July 7,07/07/2020,41.2
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,July 2 - July 7,07/07/2020,41.6
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,July 2 - July 7,07/07/2020,41.5
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,July 2 - July 7,07/07/2020,46.9
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,July 2 - July 7,07/07/2020,36.8
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,July 2 - July 7,07/07/2020,41.5
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,July 2 - July 7,07/07/2020,30.6
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,July 2 - July 7,07/07/2020,36.9
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,July 2 - July 7,07/07/2020,38.1
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,July 2 - July 7,07/07/2020,40.5
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,July 2 - July 7,07/07/2020,35.7
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,July 2 - July 7,07/07/2020,39.3
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,July 2 - July 7,07/07/2020,40.9
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,July 2 - July 7,07/07/2020,40.2
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,July 2 - July 7,07/07/2020,41.7
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,July 2 - July 7,07/07/2020,46
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,July 2 - July 7,07/07/2020,41.8
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,July 2 - July 7,07/07/2020,42.6
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,July 2 - July 7,07/07/2020,36.7
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,July 2 - July 7,07/07/2020,39.1
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,July 2 - July 7,07/07/2020,45.2
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,July 2 - July 7,07/07/2020,35.6
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,July 2 - July 7,07/07/2020,34.1
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,July 2 - July 7,07/07/2020,43.9
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,July 2 - July 7,07/07/2020,35.5
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,July 2 - July 7,07/07/2020,45.6
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,July 2 - July 7,07/07/2020,47.1
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,July 2 - July 7,07/07/2020,41.7
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,July 2 - July 7,07/07/2020,39.9
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,July 2 - July 7,07/07/2020,39.3
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,July 2 - July 7,07/07/2020,38.6
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,July 2 - July 7,07/07/2020,37.2
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,July 2 - July 7,07/07/2020,45.6
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,July 2 - July 7,07/07/2020,42.5
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,July 2 - July 7,07/07/2020,39.4
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,July 2 - July 7,07/07/2020,37.3
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,July 2 - July 7,07/07/2020,36.7
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,July 2 - July 7,07/07/2020,38
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,July 2 - July 7,07/07/2020,38.3
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,July 2 - July 7,07/07/2020,35.5
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,July 2 - July 7,07/07/2020,44.3
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,July 2 - July 7,07/07/2020,42.3
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,July 2 - July 7,07/07/2020,43.4
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,July 2 - July 7,07/07/2020,36.2
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,July 2 - July 7,07/07/2020,38.1
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,July 2 - July 7,07/07/2020,39.1
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,July 2 - July 7,07/07/2020,26.4
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,July 2 - July 7,07/07/2020,33.8
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,July 2 - July 7,07/07/2020,36.9
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,July 2 - July 7,07/07/2020,37
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,July 2 - July 7,07/07/2020,31.9
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,July 2 - July 7,07/07/2020,26.3
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,July 2 - July 7,07/07/2020,22.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,July 2 - July 7,07/07/2020,30.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,Alaska,July 2 - July 7,07/07/2020,33
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,Arizona,July 2 - July 7,07/07/2020,32
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,Arkansas,July 2 - July 7,07/07/2020,36.6
"Did Not Get Needed Care, Last 4 Weeks",By State,California,California,July 2 - July 7,07/07/2020,33.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,Colorado,July 2 - July 7,07/07/2020,32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,Connecticut,July 2 - July 7,07/07/2020,32.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,Delaware,July 2 - July 7,07/07/2020,33.6
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,July 2 - July 7,07/07/2020,33.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,Florida,July 2 - July 7,07/07/2020,29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,Georgia,July 2 - July 7,07/07/2020,33.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,Hawaii,July 2 - July 7,07/07/2020,21.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,Idaho,July 2 - July 7,07/07/2020,29.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,Illinois,July 2 - July 7,07/07/2020,29.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,Indiana,July 2 - July 7,07/07/2020,31.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,Iowa,July 2 - July 7,07/07/2020,26
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,Kansas,July 2 - July 7,07/07/2020,29.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,Kentucky,July 2 - July 7,07/07/2020,34.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,Louisiana,July 2 - July 7,07/07/2020,33.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,Maine,July 2 - July 7,07/07/2020,31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,Maryland,July 2 - July 7,07/07/2020,31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,July 2 - July 7,07/07/2020,29.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,Michigan,July 2 - July 7,07/07/2020,34
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,Minnesota,July 2 - July 7,07/07/2020,26.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,Mississippi,July 2 - July 7,07/07/2020,32.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,Missouri,July 2 - July 7,07/07/2020,32.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,Montana,July 2 - July 7,07/07/2020,28.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,Nebraska,July 2 - July 7,07/07/2020,25.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,Nevada,July 2 - July 7,07/07/2020,39.6
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,July 2 - July 7,07/07/2020,26.8
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,New Jersey,July 2 - July 7,07/07/2020,35.2
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,New Mexico,July 2 - July 7,07/07/2020,37
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,New York,July 2 - July 7,07/07/2020,34.1
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,North Carolina,July 2 - July 7,07/07/2020,34.5
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,North Dakota,July 2 - July 7,07/07/2020,33.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,Ohio,July 2 - July 7,07/07/2020,31.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,July 2 - July 7,07/07/2020,30.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,Oregon,July 2 - July 7,07/07/2020,37.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,July 2 - July 7,07/07/2020,32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,July 2 - July 7,07/07/2020,29.1
"Did Not Get Needed Care, Last 4 Weeks",By State,South Carolina,South Carolina,July 2 - July 7,07/07/2020,30.9
"Did Not Get Needed Care, Last 4 Weeks",By State,South Dakota,South Dakota,July 2 - July 7,07/07/2020,28.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Tennessee,Tennessee,July 2 - July 7,07/07/2020,30.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Texas,Texas,July 2 - July 7,07/07/2020,31.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Utah,Utah,July 2 - July 7,07/07/2020,26
"Did Not Get Needed Care, Last 4 Weeks",By State,Vermont,Vermont,July 2 - July 7,07/07/2020,37.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Virginia,Virginia,July 2 - July 7,07/07/2020,36.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Washington,Washington,July 2 - July 7,07/07/2020,36.1
"Did Not Get Needed Care, Last 4 Weeks",By State,West Virginia,West Virginia,July 2 - July 7,07/07/2020,30.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,July 2 - July 7,07/07/2020,29.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Wyoming,Wyoming,July 2 - July 7,07/07/2020,30.9
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,July 9 - July 14,07/14/2020,37.3
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,July 9 - July 14,07/14/2020,42.1
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,July 9 - July 14,07/14/2020,44.1
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,July 9 - July 14,07/14/2020,44.4
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,July 9 - July 14,07/14/2020,41.1
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,July 9 - July 14,07/14/2020,32.2
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,July 9 - July 14,07/14/2020,31.3
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,July 9 - July 14,07/14/2020,41.4
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,July 9 - July 14,07/14/2020,48.9
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,July 9 - July 14,07/14/2020,39.7
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,July 9 - July 14,07/14/2020,39.6
"Delayed Medical Care, Last 4 Weeks",By State,California,California,July 9 - July 14,07/14/2020,43.7
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,July 9 - July 14,07/14/2020,38.3
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,July 9 - July 14,07/14/2020,39.8
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,July 9 - July 14,07/14/2020,36.8
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,July 9 - July 14,07/14/2020,39.2
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,July 9 - July 14,07/14/2020,38.7
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,July 9 - July 14,07/14/2020,40.6
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,July 9 - July 14,07/14/2020,37
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,July 9 - July 14,07/14/2020,39.7
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,July 9 - July 14,07/14/2020,42.6
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,July 9 - July 14,07/14/2020,39.7
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,July 9 - July 14,07/14/2020,33.9
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,July 9 - July 14,07/14/2020,36.1
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,July 9 - July 14,07/14/2020,38.1
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,July 9 - July 14,07/14/2020,40.1
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,July 9 - July 14,07/14/2020,37.7
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,July 9 - July 14,07/14/2020,37.6
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,July 9 - July 14,07/14/2020,50.1
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,July 9 - July 14,07/14/2020,44.9
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,July 9 - July 14,07/14/2020,38
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,July 9 - July 14,07/14/2020,44.4
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,July 9 - July 14,07/14/2020,38.1
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,July 9 - July 14,07/14/2020,42.3
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,July 9 - July 14,07/14/2020,33.2
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,July 9 - July 14,07/14/2020,38.9
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,July 9 - July 14,07/14/2020,38.6
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,July 9 - July 14,07/14/2020,44.6
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,July 9 - July 14,07/14/2020,42.2
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,July 9 - July 14,07/14/2020,39.1
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,July 9 - July 14,07/14/2020,35.9
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,July 9 - July 14,07/14/2020,24.5
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,July 9 - July 14,07/14/2020,41.7
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,July 9 - July 14,07/14/2020,39
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,July 9 - July 14,07/14/2020,45.1
"Delayed Medical Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,July 9 - July 14,07/14/2020,36.3
"Delayed Medical Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,July 9 - July 14,07/14/2020,49
"Delayed Medical Care, Last 4 Weeks",By State,South Carolina,South Carolina,July 9 - July 14,07/14/2020,41.3
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,July 9 - July 14,07/14/2020,36.8
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,July 9 - July 14,07/14/2020,36.6
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,July 9 - July 14,07/14/2020,39.3
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,July 9 - July 14,07/14/2020,37
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,July 9 - July 14,07/14/2020,39.6
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,July 9 - July 14,07/14/2020,46.9
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,July 9 - July 14,07/14/2020,43.4
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,July 9 - July 14,07/14/2020,45.4
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,July 9 - July 14,07/14/2020,39.1
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,July 9 - July 14,07/14/2020,31.6
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,July 9 - July 14,07/14/2020,28.6
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,July 9 - July 14,07/14/2020,34.5
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,July 9 - July 14,07/14/2020,36.3
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,July 9 - July 14,07/14/2020,36.9
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,July 9 - July 14,07/14/2020,31.2
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,July 9 - July 14,07/14/2020,25.9
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,July 9 - July 14,07/14/2020,24.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,July 9 - July 14,07/14/2020,33.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,Alaska,July 9 - July 14,07/14/2020,42.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,Arizona,July 9 - July 14,07/14/2020,35.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,Arkansas,July 9 - July 14,07/14/2020,33.6
"Did Not Get Needed Care, Last 4 Weeks",By State,California,California,July 9 - July 14,07/14/2020,35.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,Colorado,July 9 - July 14,07/14/2020,34.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,Connecticut,July 9 - July 14,07/14/2020,34.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,Delaware,July 9 - July 14,07/14/2020,30.7
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,July 9 - July 14,07/14/2020,28.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,Florida,July 9 - July 14,07/14/2020,30.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,Georgia,July 9 - July 14,07/14/2020,32.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,Hawaii,July 9 - July 14,07/14/2020,29.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,Idaho,July 9 - July 14,07/14/2020,32
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,Illinois,July 9 - July 14,07/14/2020,33
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,Indiana,July 9 - July 14,07/14/2020,35.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,Iowa,July 9 - July 14,07/14/2020,25.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,Kansas,July 9 - July 14,07/14/2020,27.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,Kentucky,July 9 - July 14,07/14/2020,30.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,Louisiana,July 9 - July 14,07/14/2020,35.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,Maine,July 9 - July 14,07/14/2020,29.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,Maryland,July 9 - July 14,07/14/2020,27.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,July 9 - July 14,07/14/2020,38.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,Michigan,July 9 - July 14,07/14/2020,34.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,Minnesota,July 9 - July 14,07/14/2020,27.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,Mississippi,July 9 - July 14,07/14/2020,37.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,Missouri,July 9 - July 14,07/14/2020,30.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,Montana,July 9 - July 14,07/14/2020,37.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,Nebraska,July 9 - July 14,07/14/2020,27.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,Nevada,July 9 - July 14,07/14/2020,33.9
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,July 9 - July 14,07/14/2020,30.9
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,New Jersey,July 9 - July 14,07/14/2020,36.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,New Mexico,July 9 - July 14,07/14/2020,37.6
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,New York,July 9 - July 14,07/14/2020,28.6
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,North Carolina,July 9 - July 14,07/14/2020,29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,North Dakota,July 9 - July 14,07/14/2020,21.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,Ohio,July 9 - July 14,07/14/2020,34.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,July 9 - July 14,07/14/2020,32.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,Oregon,July 9 - July 14,07/14/2020,35.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,July 9 - July 14,07/14/2020,29.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,July 9 - July 14,07/14/2020,37.2
"Did Not Get Needed Care, Last 4 Weeks",By State,South Carolina,South Carolina,July 9 - July 14,07/14/2020,29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,South Dakota,South Dakota,July 9 - July 14,07/14/2020,28.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Tennessee,Tennessee,July 9 - July 14,07/14/2020,30.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Texas,Texas,July 9 - July 14,07/14/2020,32.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Utah,Utah,July 9 - July 14,07/14/2020,28.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Vermont,Vermont,July 9 - July 14,07/14/2020,33.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Virginia,Virginia,July 9 - July 14,07/14/2020,36.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Washington,Washington,July 9 - July 14,07/14/2020,33
"Did Not Get Needed Care, Last 4 Weeks",By State,West Virginia,West Virginia,July 9 - July 14,07/14/2020,40
"Did Not Get Needed Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,July 9 - July 14,07/14/2020,27.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Wyoming,Wyoming,July 9 - July 14,07/14/2020,27.1
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,July 16 - July 21,07/21/2020,37.6
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,July 16 - July 21,07/21/2020,43.4
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,July 16 - July 21,07/21/2020,43.5
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,July 16 - July 21,07/21/2020,42.8
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,July 16 - July 21,07/21/2020,39.1
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,July 16 - July 21,07/21/2020,32.6
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,July 16 - July 21,07/21/2020,25.7
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,July 16 - July 21,07/21/2020,44.6
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,July 16 - July 21,07/21/2020,44.5
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,July 16 - July 21,07/21/2020,38.9
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,July 16 - July 21,07/21/2020,37
"Delayed Medical Care, Last 4 Weeks",By State,California,California,July 16 - July 21,07/21/2020,41.2
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,July 16 - July 21,07/21/2020,41.1
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,July 16 - July 21,07/21/2020,37.1
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,July 16 - July 21,07/21/2020,37.4
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,July 16 - July 21,07/21/2020,50.6
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,July 16 - July 21,07/21/2020,37.9
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,July 16 - July 21,07/21/2020,40.1
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,July 16 - July 21,07/21/2020,35.4
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,July 16 - July 21,07/21/2020,34.1
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,July 16 - July 21,07/21/2020,42.8
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,July 16 - July 21,07/21/2020,38.9
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,July 16 - July 21,07/21/2020,32.8
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,July 16 - July 21,07/21/2020,39.2
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,July 16 - July 21,07/21/2020,33.8
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,July 16 - July 21,07/21/2020,36
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,July 16 - July 21,07/21/2020,49.4
