Indicator,Group,State,Subgroup,Time Period Label,Time Period End Date,Value
"Delayed Medical Care, Last 4 Weeks",By State,South Dakota,South Dakota,Apr 23 - May 5,05/05/2020,40.6
"Delayed Medical Care, Last 4 Weeks",By State,Tennessee,Tennessee,Apr 23 - May 5,05/05/2020,38.7
"Delayed Medical Care, Last 4 Weeks",By State,Texas,Texas,Apr 23 - May 5,05/05/2020,34.5
"Delayed Medical Care, Last 4 Weeks",By State,Utah,Utah,Apr 23 - May 5,05/05/2020,40.4
"Delayed Medical Care, Last 4 Weeks",By State,Vermont,Vermont,Apr 23 - May 5,05/05/2020,44.1
"Delayed Medical Care, Last 4 Weeks",By State,Virginia,Virginia,Apr 23 - May 5,05/05/2020,42.5
"Delayed Medical Care, Last 4 Weeks",By State,Washington,Washington,Apr 23 - May 5,05/05/2020,43.1
"Delayed Medical Care, Last 4 Weeks",By State,West Virginia,West Virginia,Apr 23 - May 5,05/05/2020,38.9
"Delayed Medical Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,Apr 23 - May 5,05/05/2020,38.7
"Delayed Medical Care, Last 4 Weeks",By State,Wyoming,Wyoming,Apr 23 - May 5,05/05/2020,33
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,18 - 29 years,Apr 23 - May 5,05/05/2020,28.9
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,30 - 39 years,Apr 23 - May 5,05/05/2020,29.8
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,40 - 49 years,Apr 23 - May 5,05/05/2020,34.1
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,50 - 59 years,Apr 23 - May 5,05/05/2020,34.4
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,60 - 69 years,Apr 23 - May 5,05/05/2020,33.5
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,70 - 79 years,Apr 23 - May 5,05/05/2020,29.5
"Did Not Get Needed Care, Last 4 Weeks",By Age,United States,80 years and above,Apr 23 - May 5,05/05/2020,24.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Alabama,Alabama,Apr 23 - May 5,05/05/2020,33.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Alaska,Alaska,Apr 23 - May 5,05/05/2020,33
"Did Not Get Needed Care, Last 4 Weeks",By State,Arizona,Arizona,Apr 23 - May 5,05/05/2020,31.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Arkansas,Arkansas,Apr 23 - May 5,05/05/2020,29.4
"Did Not Get Needed Care, Last 4 Weeks",By State,California,California,Apr 23 - May 5,05/05/2020,31.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Colorado,Colorado,Apr 23 - May 5,05/05/2020,31.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Connecticut,Connecticut,Apr 23 - May 5,05/05/2020,31.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Delaware,Delaware,Apr 23 - May 5,05/05/2020,29.7
"Did Not Get Needed Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,Apr 23 - May 5,05/05/2020,32
"Did Not Get Needed Care, Last 4 Weeks",By State,Florida,Florida,Apr 23 - May 5,05/05/2020,30.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Georgia,Georgia,Apr 23 - May 5,05/05/2020,34.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Hawaii,Hawaii,Apr 23 - May 5,05/05/2020,29.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Idaho,Idaho,Apr 23 - May 5,05/05/2020,29.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Illinois,Illinois,Apr 23 - May 5,05/05/2020,31.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Indiana,Indiana,Apr 23 - May 5,05/05/2020,29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Iowa,Iowa,Apr 23 - May 5,05/05/2020,28.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Kansas,Kansas,Apr 23 - May 5,05/05/2020,28.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Kentucky,Kentucky,Apr 23 - May 5,05/05/2020,32.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Louisiana,Louisiana,Apr 23 - May 5,05/05/2020,36.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Maine,Maine,Apr 23 - May 5,05/05/2020,31.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Maryland,Maryland,Apr 23 - May 5,05/05/2020,36.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,Apr 23 - May 5,05/05/2020,29.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Michigan,Michigan,Apr 23 - May 5,05/05/2020,31.8
"Did Not Get Needed Care, Last 4 Weeks",By State,Minnesota,Minnesota,Apr 23 - May 5,05/05/2020,31.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Mississippi,Mississippi,Apr 23 - May 5,05/05/2020,31.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Missouri,Missouri,Apr 23 - May 5,05/05/2020,32.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Montana,Montana,Apr 23 - May 5,05/05/2020,35.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Nebraska,Nebraska,Apr 23 - May 5,05/05/2020,24
"Did Not Get Needed Care, Last 4 Weeks",By State,Nevada,Nevada,Apr 23 - May 5,05/05/2020,33.3
"Did Not Get Needed Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,Apr 23 - May 5,05/05/2020,32.5
"Did Not Get Needed Care, Last 4 Weeks",By State,New Jersey,New Jersey,Apr 23 - May 5,05/05/2020,32.1
"Did Not Get Needed Care, Last 4 Weeks",By State,New Mexico,New Mexico,Apr 23 - May 5,05/05/2020,32.7
"Did Not Get Needed Care, Last 4 Weeks",By State,New York,New York,Apr 23 - May 5,05/05/2020,30.8
"Did Not Get Needed Care, Last 4 Weeks",By State,North Carolina,North Carolina,Apr 23 - May 5,05/05/2020,28.9
"Did Not Get Needed Care, Last 4 Weeks",By State,North Dakota,North Dakota,Apr 23 - May 5,05/05/2020,20.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Ohio,Ohio,Apr 23 - May 5,05/05/2020,27.7
"Did Not Get Needed Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,Apr 23 - May 5,05/05/2020,36.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Oregon,Oregon,Apr 23 - May 5,05/05/2020,34.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Apr 23 - May 5,05/05/2020,29.9
"Did Not Get Needed Care, Last 4 Weeks",By State,Rhode Island,Rhode Island,Apr 23 - May 5,05/05/2020,30.5
"Did Not Get Needed Care, Last 4 Weeks",By State,South Carolina,South Carolina,Apr 23 - May 5,05/05/2020,35
"Did Not Get Needed Care, Last 4 Weeks",By State,South Dakota,South Dakota,Apr 23 - May 5,05/05/2020,32.3
"Did Not Get Needed Care, Last 4 Weeks",By State,Tennessee,Tennessee,Apr 23 - May 5,05/05/2020,32.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Texas,Texas,Apr 23 - May 5,05/05/2020,32.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Utah,Utah,Apr 23 - May 5,05/05/2020,29.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Vermont,Vermont,Apr 23 - May 5,05/05/2020,33.5
"Did Not Get Needed Care, Last 4 Weeks",By State,Virginia,Virginia,Apr 23 - May 5,05/05/2020,35.1
"Did Not Get Needed Care, Last 4 Weeks",By State,Washington,Washington,Apr 23 - May 5,05/05/2020,34.9
"Did Not Get Needed Care, Last 4 Weeks",By State,West Virginia,West Virginia,Apr 23 - May 5,05/05/2020,32.4
"Did Not Get Needed Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,Apr 23 - May 5,05/05/2020,33.2
"Did Not Get Needed Care, Last 4 Weeks",By State,Wyoming,Wyoming,Apr 23 - May 5,05/05/2020,30
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,May 7 - May 12,05/12/2020,38.3
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,May 7 - May 12,05/12/2020,41.2
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,May 7 - May 12,05/12/2020,42.3
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,May 7 - May 12,05/12/2020,43.7
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,May 7 - May 12,05/12/2020,40.2
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,May 7 - May 12,05/12/2020,38.2
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,May 7 - May 12,05/12/2020,43.9
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,May 7 - May 12,05/12/2020,38.5
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,May 7 - May 12,05/12/2020,45
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,May 7 - May 12,05/12/2020,46.6
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,May 7 - May 12,05/12/2020,40.8
"Delayed Medical Care, Last 4 Weeks",By State,California,California,May 7 - May 12,05/12/2020,38.3
"Delayed Medical Care, Last 4 Weeks",By State,Colorado,Colorado,May 7 - May 12,05/12/2020,41.6
"Delayed Medical Care, Last 4 Weeks",By State,Connecticut,Connecticut,May 7 - May 12,05/12/2020,40.5
"Delayed Medical Care, Last 4 Weeks",By State,Delaware,Delaware,May 7 - May 12,05/12/2020,37
"Delayed Medical Care, Last 4 Weeks",By State,District of Columbia,District of Columbia,May 7 - May 12,05/12/2020,42.1
"Delayed Medical Care, Last 4 Weeks",By State,Florida,Florida,May 7 - May 12,05/12/2020,38.5
"Delayed Medical Care, Last 4 Weeks",By State,Georgia,Georgia,May 7 - May 12,05/12/2020,45.1
"Delayed Medical Care, Last 4 Weeks",By State,Hawaii,Hawaii,May 7 - May 12,05/12/2020,41
"Delayed Medical Care, Last 4 Weeks",By State,Idaho,Idaho,May 7 - May 12,05/12/2020,36.5
"Delayed Medical Care, Last 4 Weeks",By State,Illinois,Illinois,May 7 - May 12,05/12/2020,41.4
"Delayed Medical Care, Last 4 Weeks",By State,Indiana,Indiana,May 7 - May 12,05/12/2020,44.9
"Delayed Medical Care, Last 4 Weeks",By State,Iowa,Iowa,May 7 - May 12,05/12/2020,36.7
"Delayed Medical Care, Last 4 Weeks",By State,Kansas,Kansas,May 7 - May 12,05/12/2020,38.2
"Delayed Medical Care, Last 4 Weeks",By State,Kentucky,Kentucky,May 7 - May 12,05/12/2020,40.6
"Delayed Medical Care, Last 4 Weeks",By State,Louisiana,Louisiana,May 7 - May 12,05/12/2020,45.2
"Delayed Medical Care, Last 4 Weeks",By State,Maine,Maine,May 7 - May 12,05/12/2020,46.8
"Delayed Medical Care, Last 4 Weeks",By State,Maryland,Maryland,May 7 - May 12,05/12/2020,40.5
"Delayed Medical Care, Last 4 Weeks",By State,Massachusetts,Massachusetts,May 7 - May 12,05/12/2020,37.2
"Delayed Medical Care, Last 4 Weeks",By State,Michigan,Michigan,May 7 - May 12,05/12/2020,40.5
"Delayed Medical Care, Last 4 Weeks",By State,Minnesota,Minnesota,May 7 - May 12,05/12/2020,43.3
"Delayed Medical Care, Last 4 Weeks",By State,Mississippi,Mississippi,May 7 - May 12,05/12/2020,39.6
"Delayed Medical Care, Last 4 Weeks",By State,Missouri,Missouri,May 7 - May 12,05/12/2020,36.4
"Delayed Medical Care, Last 4 Weeks",By State,Montana,Montana,May 7 - May 12,05/12/2020,45.8
"Delayed Medical Care, Last 4 Weeks",By State,Nebraska,Nebraska,May 7 - May 12,05/12/2020,45.1
"Delayed Medical Care, Last 4 Weeks",By State,Nevada,Nevada,May 7 - May 12,05/12/2020,43
"Delayed Medical Care, Last 4 Weeks",By State,New Hampshire,New Hampshire,May 7 - May 12,05/12/2020,40.9
"Delayed Medical Care, Last 4 Weeks",By State,New Jersey,New Jersey,May 7 - May 12,05/12/2020,43.7
"Delayed Medical Care, Last 4 Weeks",By State,New Mexico,New Mexico,May 7 - May 12,05/12/2020,40.3
"Delayed Medical Care, Last 4 Weeks",By State,New York,New York,May 7 - May 12,05/12/2020,43
"Delayed Medical Care, Last 4 Weeks",By State,North Carolina,North Carolina,May 7 - May 12,05/12/2020,41.3
"Delayed Medical Care, Last 4 Weeks",By State,North Dakota,North Dakota,May 7 - May 12,05/12/2020,42.6
"Delayed Medical Care, Last 4 Weeks",By State,Ohio,Ohio,May 7 - May 12,05/12/2020,41.5
"Delayed Medical Care, Last 4 Weeks",By State,Oklahoma,Oklahoma,May 7 - May 12,05/12/2020,36.2
"Delayed Medical Care, Last 4 Weeks",By State,Oregon,Oregon,May 7 - May 12,05/12/2020,52.6
